Occupation Title,Description,Alternative Labels,Essential Skills (Skill),Essential Skills (Knowledge),Optional Skills (Skill),Optional Skills (Knowledge)
research consultant,"research consultants perform targeted research and provide a final report to the client. They also use tools to design questionnaires for surveys, analyse the results, write reports, present the results and make recommendations based on the research findings.","IT research consultant, research specialist, research advisor, research consultants, IT research advisor, IT research specialist","execute user research activities, provide technical documentation, apply statistical analysis techniques, conduct qualitative research, conduct scholarly research, develop software prototype, create prototype of user experience solutions, conduct research interview, utilise methodologies for user centered design, interact with users to gather requirements, innovate in ICT, conduct quantitative research, carry out internet research, provide user documentation, execute analytical mathematical calculations, apply reverse engineering, conduct literature research, consult with business clients, plan research process","scientific research methodology, innovation processes","report analysis results, perform data mining, monitor research, provide written content, create solutions to problems, optimise choice of solution, provide multimedia content","resource description framework query language, market, N1QL, information extraction, MDX, query languages, LDAP, information categorisation, LINQ, web analytics, emergent technologies, system user requirements, XQuery, SPARQL"
resilience manager,"resilience managers research, plan and develop models, policies, methods, techniques and tools that enhance an organisation's cyber security, resilience and disaster recovery.","manager for disaster recovery, manager for vulnerability, manager for IT resilience, IT resilience manager, resilience managers, vulnerability manager, disaster recovery manager","develop contingency plans for emergencies, analyse the context of an organisation, manage IT security compliances, lead disaster recovery exercises, develop information security strategy, manage disaster recovery plans, implement risk management, comply with legal regulations, analyse business processes, execute audits, implement recovery system, manage system security, perform security vulnerability assessments, identify security risks","cyber security, organisational resilience, system backup best practice, recovery techniques, internal risk management policy","analyse business requirements, coordinate technological activities, define security policies, train employees, provide cost benefit analysis reports, manage budgets, perform project management, advise on strengthening security, apply procurement, build business relationships","human-computer interaction, business process modelling, system user requirements, network security risks, process quality models"
search engine optimisation expert,Search engine optimisation experts increase the ranking of a company's web pages with regard to target queries in a search engine. They create and launch SEO campaigns and identify areas of improvement. Search engine optimisation experts may conduct pay per click (PPC) campaigns.,"search engine optimisation specialist, SEO specialist, search engine marketing specialist, search engine optimisation consultant, SEO expert, growth hacker, search engine optimisation experts, search engine optimiser, SEO experts, inbound marketer","use customer relationship management software, apply social media marketing, conduct search engine optimisation, perform online data analysis, integrate content into output media, enhance website visibility, provide written content, manage content development projects","social media marketing techniques, content marketing strategy, sales strategies, keywords in digital content, web analytics","execute email marketing, perform market research, create content title, provide cost benefit analysis reports, plan digital marketing, identify user needs, use different communication channels, translate requirement concepts into visual design, use content management system software, study website behaviour patterns","digital marketing techniques, mobile marketing, behavioural science"
security administrator,"security administrators plan and carry out security measures to protect information and data from unauthorised access, deliberate attack, theft and corruption.","network security administrator, system security administrator, security administrators, IT security administrator","apply company policies, identify system weaknesses, manage IT security compliances, ensure proper document management, perform troubleshooting, solve system problems, attend to systems quality, interpret technical texts, maintain identity management, maintain database security","database development tools, Internet of Things, mobile device management, organisational resilience, quality assurance methodologies, system backup best practice, internet governance, cyber attack counter-measures, network security risks","address problems critically, execute audits, execute software tests, build business relationships, manage database, lead disaster recovery exercises, perform backups, train employees, assess knowledge, use scripting programming, manage virtualisation machines","web application security threats, encryption, information confidentiality, cyber security, information security strategy, security standards, security legislation, infrastructure, computer forensics"
security consultant,security consultants advise and implement solutions to control access to data and programs. They promote a safe exchange of information.,"IT security expert, security advisor, information communications technology security consultant, security consultants, IT security advisor, IT security consultant, consultant in security activities, information technology security consultant","provide consulting advice, educate on data confidentiality, develop information security strategy, manage disaster recovery plans, define security policies, keep task records, implement risk management, report test findings, analyse system, define technical requirements, identify security risks, perform risk analysis, verify formal specifications, manage IT security compliances, execute software tests, execute audits, identify system weaknesses, monitor system performance, keep up with the latest information systems solutions","cyber attack counter-measures, organisational resilience, information security strategy, security legislation, security standards","manage changes in system, track key performance indicators, lead disaster recovery exercises, provide user documentation, optimise choice of solution, ensure proper document management, give live presentation, create project specifications, perform project management, manage change request process","web application security threats, Process-based management, Lean project management, copyright legislation, internet governance, encryption, process quality models, Agile project management, Internet of Things, project management methodologies"
security manager,"security managers propose and implement necessary security updates. They advise, support, inform and provide training and security awareness and take direct action on all or part of a network or system.","security coordinator, security managers, technical security expert, information security manager, IT security manager, security chief, IT security chief","lead disaster recovery exercises, define security policies, implement risk management, maintain identity management, manage disaster recovery plans, solve system problems, establish an security prevention plan, manage IT security compliances, develop information security strategy","security standards, problem management techniques, computer forensics, internal risk management policy, legal requirements of products, project management, Internet of Things, quality policy, system user requirements, information security strategy, internet governance","define technology strategy, use ticketing system, execute audits, provide technical documentation, identify security risks","levels of software testing, audit techniques, tools for test automation, process quality models, SaaS (service-oriented modelling), systems development life-cycle, Open source model, information confidentiality, cyber attack counter-measures, cyber security, encryption, investment analysis, recovery techniques, network security risks, mobile device management, decision support systems, Outsourcing model, Hybrid model, web application security threats, organisational resilience, service-oriented modelling, security legislation"
security technician,"security technicians propose and implement necessary security updates and measures whenever is required. They advise, support, inform and provide training and security awareness.","security technicians, IT security officer, IT security technician, security officer","integrate system components, execute software tests, manage alarm system, use access control software, solve system problems, manage closed-circuit television system, provide technical documentation, estimate duration of work, ensure proper document management, identify system weaknesses, address problems critically, analyse system","web application security threats, procurement of network equipment, networking hardware","execute audits, comply with legal regulations, manage IT security compliances, install low voltage wiring","Groovy, R, organisational resilience, MATLAB, Ruby (computer programming), Scratch (computer programming), ASP.NET, TypeScript, Assembly (computer programming), C#, Prolog (computer programming), Haskell, C++, PHP, Erlang, computer programming, security legislation, Smalltalk (computer programming), APL, network security risks, AJAX, encryption, Visual Studio .NET, Pascal (computer programming), Perl, Scala, SAP R3, SAS language, VBScript, COBOL, Microsoft Visual C++, CoffeeScript, cyber security, ML (computer programming), Cisco, Swift (computer programming), Java (computer programming), Common Lisp, Python (computer programming), ABAP, OpenEdge Advanced Business Language, JavaScript, Objective-C, Lisp, Internet of Things"
software analyst,"Software analysts elicit and prioritise user requirements, produce and document software specifications, test their application, and review them during software development. They act as the interface between the software users and the software development team.","application analyst, programming analyst, programmer analyst, software analysts, software requirement analyst, software requirements analyst, analyst of software","create data models, design information system, define software architecture, define technical requirements, execute feasibility study, create software design, manage legacy implication, develop software prototype, identify user needs, analyse business processes, develop documentation in accordance with legal requirements, translate requirement concepts into visual design, interact with users to gather requirements","software architecture models, system user requirements, data models, legal requirements of products, business requirements techniques, software design methodologies","analyse system, create prototype of user experience solutions, manage system testing, ensure compliance with company regulations, monitor system performance, create project specifications, manage project, ensure compliance with legal requirements, identify system weaknesses, solve system problems, provide consulting advice","ABAP, Ruby (computer programming), computer programming, unified modelling language, SPARQL, Agile project management, object-oriented modelling, DevOps, R, Open source model, JavaScript, ML (computer programming), Hybrid model, LDAP, SAP R3, COBOL, query languages, Lisp, VBScript, Lean project management, Erlang, Waterfall development, project management methodologies, Java (computer programming), N1QL, Iterative development, Prototyping development, PHP, project management, Visual Studio .NET, Agile development, ASP.NET, resource description framework query language, Pascal (computer programming), service-oriented modelling, LINQ, Scala, Scratch (computer programming), Swift (computer programming), Perl, C++, Assembly (computer programming), Rapid application development, problem management techniques, AJAX, CoffeeScript, SAS language, C#, Python (computer programming), MDX, levels of software testing, Common Lisp, MATLAB, Haskell, Incremental development, Smalltalk (computer programming), Prolog (computer programming), Objective-C, Process-based management, Groovy, TypeScript, XQuery, OpenEdge Advanced Business Language, Outsourcing model, Spiral development, SaaS (service-oriented modelling), APL"
software architect,"Software architects create the technical design and the functional model of a software system, based on functional specifications. They also design the architecture of the system or different modules and components related to the business' or customer requirements, technical platform, computer language or development environment.","software architects, software designer, application architect","create software design, build business relationships, analyse business requirements, align software with system architectures, collect customer feedback on applications, define software architecture, create flowchart diagram, analyse software specifications, define technical requirements, oversee development of software, provide cost benefit analysis reports, design process, provide technical documentation","systems development life-cycle, tools for software configuration management, unified modelling language, object-oriented modelling, business process modelling","provide consulting advice, use markup languages, design database scheme, apply systems theory, manage staff, perform troubleshooting, perform risk analysis, implement data warehousing techniques, perform resource planning, utilise computer-aided software engineering tools, develop software prototype","Haskell, C++, ASP.NET, Ansible, Apache Maven, Python (computer programming), APL, Pascal (computer programming), Java (computer programming), Objective-C, Lisp, R, TypeScript, Prolog (computer programming), VBScript, web programming, Common Lisp, Erlang, Perl, systems theory, task algorithmisation, JavaScript, Puppet (tools for software configuration management), computer programming, SAS language, SAP R3, project management methodologies, Assembly (computer programming), Scala, Salt (tools for software configuration management), Microsoft Visual C++, ABAP, AJAX, Jenkins (tools for software configuration management), OpenEdge Advanced Business Language, STAF, Ruby (computer programming), Agile project management, Process-based management, Groovy, Scratch (computer programming), ML (computer programming), MATLAB, Lean project management, Swift (computer programming), PHP, Smalltalk (computer programming), C#, security legislation, CoffeeScript, Visual Studio .NET, COBOL"
software developer,"Software developers implement or program all kinds of software systems based on specifications and designs by using programming languages, tools, and platforms.","application developer, application programmer, solutions developer, programmer, software specialist, application software developer, software developers, software engineer, applications engineer, soft developer, developer of software","develop software prototype, perform scientific research, create flowchart diagram, utilise computer-aided software engineering tools, identify customer requirements, manage engineering project, use software design patterns, provide technical documentation, use technical drawing software, debug software, use software libraries, interpret technical requirements, define technical requirements, analyse software specifications, develop automated migration methods","debugging tools, integrated development environment software, computer programming, tools for software configuration management, technical drawings, engineering processes, project management, engineering principles","use object-oriented programming, use functional programming, design user interface, migrate existing data, use logic programming, collect customer feedback on applications, adapt to changes in technological development plans, integrate system components, develop creative ideas, use concurrent programming, use automatic programming, utilise machine learning","Ansible, object-oriented modelling, Scala, Pascal (computer programming), Scratch (computer programming), Assembly (computer programming), C#, Haskell, Erlang, security legislation, OpenEdge Advanced Business Language, Internet of Things, Apache Maven, Python (computer programming), Common Lisp, Visual Studio .NET, SAP R3, ML (computer programming), C++, Prolog (computer programming), JavaScript, Java (computer programming), PHP, COBOL, Puppet (tools for software configuration management), Microsoft Visual C++, APL, Salt (tools for software configuration management), KDevelop, SAS language, Smalltalk (computer programming), VBScript, Xcode, Jenkins (tools for software configuration management), ABAP, R, Lisp, software anomalies, World Wide Web Consortium standards, ASP.NET, Swift (computer programming), MATLAB, STAF, AJAX, Eclipse (integrated development environment software), Perl, Objective-C, TypeScript, Ruby (computer programming), Groovy, CoffeeScript"
software tester,Software testers perform software tests. They may also plan and design them. They may also debug and repair software although this mainly corresponds to designers and developers. They ensure that applications function properly before delivering them to internal and external clients.,"application software tester, unit tester, application tester, software application tester, tester, module tester, software testers, software testing specialist, soft tester","address problems critically, execute software tests, perform software unit testing, replicate customer software issues, provide software testing documentation, report test findings","software anomalies, software metrics, software architecture models, levels of software testing","perform software recovery testing, conduct code review, plan software testing, measure software usability, debug software, manage schedule of tasks, develop automated software tests, develop test suite, execute integration testing, use scripting programming","Erlang, VBScript, Microsoft Visual C++, Groovy, Process-based management, Lisp, Visual Studio .NET, TypeScript, Lean project management, project management methodologies, Smalltalk (computer programming), MDX, Prolog (computer programming), Assembly (computer programming), Python (computer programming), Ruby (computer programming), ABAP, debugging tools, ML (computer programming), CoffeeScript, query languages, Scratch (computer programming), software components libraries, audit techniques, Pascal (computer programming), computer programming, COBOL, Java (computer programming), performance analysis methods, unstructured data, MATLAB, OpenEdge Advanced Business Language, tools for test automation, Agile project management, SAS language, Scala, N1QL, Haskell, PHP, C++, C#, JavaScript, SAP R3, Common Lisp, resource description framework query language, LINQ, ASP.NET, Swift (computer programming), application usability, SPARQL, LDAP, R, Objective-C, APL, hardware components, XQuery, Perl, AJAX"
system administrator,"system administrators are responsible for the upkeep, configuration, and reliable operation of computer and network systems, servers, workstations and peripheral devices. They may acquire, install, or upgrade computer components and software; automate routine tasks; write computer programs; troubleshoot; train and supervise staff; and provide technical support. They ensure optimum system integrity, security, backup and performance.","enterprise administrator, IT system administrator, systems administrator, sysadmins, IT systems administrator, sysadmin, systems administrators, system and network administrator, server administrator, system and networks administrator, network administrator, system administrators, sysadmin","administer system, maintain system, interpret technical texts, provide technical documentation, manage changes in system, solve system problems, manage system security, migrate existing data, implement recovery system, integrate system components, perform backups, support system users, apply system usage policies, manage system testing, apply system organisational policies, monitor system performance","hardware components, infrastructure, quality assurance methodologies, system programming, software components libraries, organisational policies, system user requirements","acquire system component, adjust system capacity, use different communication channels, execute integration testing, provide system training, install signal repeaters, implement risk management, interact with users to gather requirements","interfacing techniques, system integration, systems development life-cycle, internet governance, recovery techniques, engineering processes, information security strategy, accessibility standards"
system analyst,"system analysts specify the system needs to meet the end user requirements. They analyse system functions in order to define their goals or purposes and to discover operations and procedures for accomplishing them most efficiently. They also design new IT solutions to improve business efficiency and productivity, produce outline designs and estimate costs of new systems, specify the operations the system will perform, and the way data will be viewed by the end user. They present the design to the users and work closely with the users to implement the solution.","IT system analyst, IT systems analyst, network analyst, systems analysts, system analysts, systems analyst, system analyst, systems analyst","identify system weaknesses, interact with users to gather requirements, analyse business processes, identify customer requirements, perform security vulnerability assessments, solve system problems, monitor system performance, apply statistical analysis techniques, manage legacy implication, define technical requirements, design information system, analyse software specifications, manage system testing, analyse system, create data models, analyse the context of an organisation, execute feasibility study","software metrics, performance analysis methods, decision support systems, systems development life-cycle, levels of software testing, software architecture models, online analytical processing, infrastructure","execute analytical mathematical calculations, conduct quantitative research, provide consulting advice","COBOL, LINQ, CoffeeScript, ABAP, TypeScript, OpenEdge Advanced Business Language, Ruby (computer programming), resource description framework query language, service-oriented modelling, object-oriented modelling, process quality models, N1QL, hardware architectures, Outsourcing model, Swift (computer programming), ML (computer programming), Erlang, LDAP, SaaS (service-oriented modelling), Prolog (computer programming), Visual Studio .NET, Microsoft Visual C++, query languages, MDX, MATLAB, XQuery, VBScript, Pascal (computer programming), hardware platforms, C++, Assembly (computer programming), Smalltalk (computer programming), Scratch (computer programming), C#, AJAX, Objective-C, Perl, computer programming, PHP, distributed computing, R, Haskell, Groovy, APL, data mining, Scala, Hybrid model, Python (computer programming), Lisp, JavaScript, Open source model, ASP.NET, SPARQL, SAS language, audit techniques, Common Lisp, unified modelling language, SAP R3, Java (computer programming)"
system architect,"system architects design architecture, components, modules, interfaces, and data for a multi-components system to meet specified requirements.","systems architect, solution architect, IT systems architect, IT system architect, systems architect, system architects, systems architects, information systems architect","create data models, apply systems theory, define technical requirements, design information system, assess knowledge, manage system testing, design enterprise architecture, acquire system component, manage database, integrate system components, use markup languages, analyse business requirements, align software with system architectures","business process modelling, web programming, systems theory, systems development life-cycle, database development tools, hardware platforms","manage standards for data exchange, build business relationships, perform resource planning, design database scheme, provide technical documentation, design process, apply technical communication skills, provide cost benefit analysis reports, solve system problems, manage staff, use object-oriented programming","Agile project management, TypeScript, Erlang, PHP, Groovy, Lisp, Lean project management, MATLAB, process quality models, SAP R3, system programming, Smalltalk (computer programming), Prolog (computer programming), Scratch (computer programming), APL, Python (computer programming), Haskell, C#, JavaScript, SAS language, OpenEdge Advanced Business Language, computer programming, Common Lisp, project management methodologies, Assembly (computer programming), Microsoft Visual C++, Scala, Java (computer programming), ABAP, Objective-C, ASP.NET, Ruby (computer programming), system integration, COBOL, CoffeeScript, Swift (computer programming), AJAX, task algorithmisation, VBScript, security legislation, information structure, Perl, R, ML (computer programming), Process-based management, Visual Studio .NET, C++, Pascal (computer programming)"
system configurator,System configurators tailor a computer system to the organisation's and users' needs. They adjust the base system and software to the needs of the customer.Â They perform configuration activities and scripting and ensure communication with users.,"system setup professional, system configuration professional, IT system configurator, system configurator, systems configurator, system configurators","analyse software specifications, integrate system components, interpret technical texts, migrate existing data, develop automated migration methods, replicate customer software issues, create flowchart diagram, collect customer feedback on applications, configure system","cognitive psychology, performance analysis methods, system user requirements, service-oriented modelling, infrastructure","define technical requirements, use logic programming, create solutions to problems, use ticketing system","Java (computer programming), mobile device software frameworks, interfacing techniques, VBScript, DB2, data storage, R, C#, Scratch (computer programming), software components libraries, Objective-C, Common Lisp, cloud technologies, SAS language, Smalltalk (computer programming), hardware components, IBM Informix, Microsoft Visual C++, SQL Server, embedded systems, computer programming, ASP.NET, Haskell, Open source model, Pascal (computer programming), TypeScript, ML (computer programming), Prolog (computer programming), Perl, accessibility standards, ObjectStore, Filemaker (database management systems), Microsoft Access, architectural frameworks, MATLAB, debugging tools, hardware architectures, Scala, information architecture, OpenEdge Database, Python (computer programming), C++, CA Datacom/DB, Swift (computer programming), PHP, APL, AJAX, Assembly (computer programming), power consumption, OpenEdge Advanced Business Language, MySQL, solution deployment, PostgreSQL, COBOL, Ruby (computer programming), system integration, Erlang, Outsourcing model, database management systems, Groovy, software architecture models, Hybrid model, ABAP, Lisp, SaaS (service-oriented modelling), SAP R3, CoffeeScript, Oracle Relational Database, JavaScript, Teradata Database, Visual Studio .NET"
system developer,"system developers maintain, audit and improve organisational support systems. They use existing or new technologies to meet particular needs. They test both hardware and software system components, diagnose and resolve system faults.","system developers, systems developer, systems programmer, system developer, component developer, system software developer, chief system developer, systems developers, IT system developer, systems developer","debug software, collect customer feedback on applications, create flowchart diagram, provide technical documentation, interpret technical texts, use software libraries, use software design patterns, develop software prototype, keep up with the latest information systems solutions, solve system problems, analyse software specifications, develop automated migration methods, migrate existing data","integrated development environment software, system integration, system programming, tools for software configuration management, computer programming, debugging tools","apply systems theory, design user interface, integrate system components, use logic programming, use automatic programming, develop creative ideas, use functional programming, use concurrent programming, use object-oriented programming, utilise computer-aided software engineering tools, monitor system performance, adapt to changes in technological development plans","Puppet (tools for software configuration management), MATLAB, software anomalies, Haskell, Xcode, Microsoft Visual C++, Eclipse (integrated development environment software), Scala, R, VBScript, COBOL, systems theory, AJAX, ML (computer programming), Common Lisp, STAF, Jenkins (tools for software configuration management), SAS language, ASP.NET, Internet of Things, Lisp, security legislation, Ansible, Assembly (computer programming), Scratch (computer programming), Visual Studio .NET, Groovy, TypeScript, Ruby (computer programming), SAP R3, Objective-C, APL, Swift (computer programming), Python (computer programming), Java (computer programming), OpenEdge Advanced Business Language, Prolog (computer programming), JavaScript, C#, KDevelop, C++, Perl, Apache Maven, PHP, object-oriented modelling, Salt (tools for software configuration management), World Wide Web Consortium standards, Pascal (computer programming)"
system integration consultant,system integration consultants advise on bringing together different systems to interoperate within an organisation for enabling data sharing and reducing redundancy.,"systems integration consultant, system integration consultants, application integration consultant, network integration consultant, systems integration consultants","apply information security policies, integrate data, optimise choice of solution, attend to systems quality, keep up with the latest information systems solutions, consult with business clients, integrate system components, define technical requirements, provide consulting advice, verify formal specifications, manage changes in system, define integration strategy, monitor technology trends, ensure proper document management, monitor system performance, use scripting programming",systems development life-cycle,"track key performance indicators, use different communication channels, write work-related reports, create project specifications, provide technical documentation, build business relationships, educate on data confidentiality, perform project management, manage change request process","software components suppliers, Agile project management, Process-based management, information architecture, engineering processes, system integration, software components libraries, hardware components suppliers, Lean project management, performance analysis methods, hardware components, project management methodologies"
system tester,system testers perform testing activities and some test planning activities. They may also debug and repair systems and components although this mainly corresponds to designers and developers. They ensure that all systems and components function properly before delivering them to internal and external clients.,"systems test engineer, systems testers, systems tester, systems tester, IT system tester","perform security vulnerability assessments, address problems critically, execute software tests, apply systems theory, report test findings, replicate customer software issues, identify system weaknesses, manage system testing, provide software testing documentation","levels of software testing, systems theory, software anomalies","use scripting programming, give live presentation, perform software recovery testing, execute integration testing, develop test suite, conduct code review, debug software, measure software usability, solve system problems, monitor system performance, develop automated software tests, manage schedule of tasks","Agile project management, Lean project management, network simulation, XQuery, LINQ, SPARQL, MDX, LDAP, Process-based management, query languages, system integration, project management methodologies, resource description framework query language, debugging tools, N1QL, system programming, tools for test automation"
technician,"technicians install, maintain, repair and operate information systems and any related equipment (laptops, desktops, servers, tablets, smart phones, communications equipment, printers and any piece of computer related peripheral networks), and any type of software (drivers, operating systems, applications).","technicians, IT engineer, computer operator, IT technician, engineer","repair devices, use repair manuals, manage email hosting service, define firewall rules, implement recovery system, operate private branch exchange, maintain system, use precision tools, administer system, perform troubleshooting, maintain server, keep up to date on product knowledge, perform backups","network cable limitations, distributed directory information services, networking hardware, procurement of network equipment, network routing","use access control software, create solutions to problems, manage legacy implication, configure system, provide technical documentation, manage schedule of tasks, use different communication channels","COBOL, Visual Studio .NET, Java (computer programming), Scala, AJAX, Assembly (computer programming), ABAP, Hybrid model, system user requirements, TypeScript, Open source model, Objective-C, ML (computer programming), Smalltalk (computer programming), Microsoft Visual C++, SAP R3, encryption, system programming, OpenEdge Advanced Business Language, communications protocols, SAS language, systems thinking, CoffeeScript, Ruby (computer programming), Groovy, JavaScript, Erlang, Swift (computer programming), C#, Lisp, service-oriented modelling, Perl, SaaS (service-oriented modelling), Scratch (computer programming), debugging tools, Haskell, Common Lisp, Python (computer programming), Pascal (computer programming), MATLAB, ASP.NET, Prolog (computer programming), R, C++, PHP, computer programming, APL, VBScript, market, Cisco, Outsourcing model"
telecommunications engineering technician,"Telecommunications engineering technician deploy, maintain and monitor a telecommunication system that provides interactions between data and voice communications, such as telephone, video conferencing, computer, and voicemail systems. They are also involved in the design, manufacturing, construction, maintenance and repair of telecommunication systems. Telecommunications engineering technicians provide technical assistance in the research and development of telecommunication equipment.","telecommunications administrator, telecommunication administrator, telecommunications administrators, telecom administrator, communication administrator, communications administrator, telecoms administrator","operate electronic measuring instruments, use scripting programming, upgrade firmware, manage changes in system, integrate system components, interpret technical texts, apply system usage policies, use session border controller, manage system security, install monitors for process control, calibrate electronic instruments, support system users, manage system testing, apply system organisational policies","electronics principles, system user requirements, communications protocols, quality assurance methodologies, analog electronics theory, organisational policies, microwave principles, direct inward dialing, electromagnetism","execute audits, solder electronics, operate private branch exchange, provide cost benefit analysis reports, solve system problems, provide technical documentation, meet deadlines, maintain telephony system","Perl, Common Lisp, Java (computer programming), SAS language, R, ASP.NET, Pascal (computer programming), C#, TypeScript, Objective-C, Cisco, Groovy, Prolog (computer programming), COBOL, Microsoft Visual C++, OpenEdge Advanced Business Language, Visual Studio .NET, VBScript, procurement of network equipment, ABAP, CoffeeScript, MATLAB, SAP R3, C++, Smalltalk (computer programming), Swift (computer programming), computer programming, Scratch (computer programming), ML (computer programming), APL, system programming, Scala, Haskell, telecommunication trunking, Erlang, Ruby (computer programming), Python (computer programming), JavaScript, Lisp, PHP, Assembly (computer programming), AJAX"
test analyst,"test analysts work in testing environments, assessing products, checking for quality and accuracy, or creating tests scripts. They design tests which are then implemented by testers.","IT test analyst, test designer","report test findings, set quality assurance objectives, replicate customer software issues, develop test suite, execute software tests, provide software testing documentation, plan software testing, address problems critically",levels of software testing,"conduct code review, perform quality audits, measure software usability, apply statistical analysis techniques, perform software recovery testing, debug software, manage schedule of tasks, give live presentation, develop automated software tests, use scripting programming","LINQ, XQuery, Lean project management, Process-based management, visual presentation techniques, debugging tools, tools for test automation, MDX, SPARQL, LDAP, query languages, N1QL, performance analysis methods, Agile project management, resource description framework query language, project management methodologies, decision support systems"
usability tester,"usability testers ensure compliance with requirements and strive for optimal usability within the software engineering cycle phases (analysis, design, implementation, and deployment). They also work closely with users (analysts) to research for and document user profiles, analyse tasks, workflows, and user scenarios.","user-friendliness tester, usability developer, usability testers, usability specialist","execute software tests, measure software usability, provide software testing documentation, address problems critically, assess users' interaction with applications, conduct research interview, test for behavioural patterns, report test findings, execute user research activities, replicate customer software issues, use experience map, test for emotional patterns, create website wireframe","levels of software testing, behavioural science, human-computer interaction, application usability","conduct code review, develop test suite, develop automated software tests, use scripting programming, use markup languages, debug software, manage schedule of tasks, design user interface","resource description framework query language, JavaScript, web programming, AJAX, Agile project management, Lean project management, MDX, tools for test automation, project management methodologies, SPARQL, cognitive psychology, debugging tools, PHP, unstructured data, LINQ, query languages, XQuery, LDAP, N1QL, Process-based management, visual presentation techniques"
user experience analyst,"User experience analysts assess client interaction and experience and analyse users' behaviours, attitudes, and emotions about the usage of a particular product, system or service. They make proposals for the improvement of the interface and usability of products, systems or services. In doing so, they take into consideration the practical, experiential, affective, meaningful and valuable aspects of humanâ€“computer interaction and product ownership, as well as the person's perceptions of system aspects such as utility, ease of use and efficiency, and user experience dynamics.","user experience officer, user experience analysts, usability analyst","conduct qualitative research, report analysis results, execute user research activities, analyse business requirements, measure customer feedback, provide technical documentation, use experience map, measure software usability, assess users' interaction with applications, create prototype of user experience solutions, conduct quantitative research, conduct research interview","application usability, behavioural science, cognitive psychology, software interaction design, human-computer interaction","forecast future network needs, perform market research, identify user needs, test system accessibility for users with special needs, manage localisation, use access control software, define technical requirements, create website wireframe","visual presentation techniques, XQuery, SPARQL, Agile project management, resource description framework query language, N1QL, LINQ, Lean project management, Process-based management, World Wide Web Consortium standards, online moderation techniques, query languages, MDX, LDAP, project management methodologies, software metrics, system user requirements, web analytics"
user interface designer,"User interface designers are in charge of designing user interfaces for applications and systems. They perform layout, graphics and dialogues design activities as well as adaptation activities.","accessibility designer, user interface designers, UI designer","create website wireframe, build business relationships, design user interface, design process, translate requirement concepts into visual design, manage online content, develop creative ideas, test system accessibility for users with special needs, design graphics, interact with users to gather requirements, draw design sketches, use markup languages, define technical requirements, utilise methodologies for user centered design, assess users' interaction with applications","task algorithmisation, software interaction design, graphics editor software, software UI design patterns, World Wide Web Consortium standards, human-computer interaction, accessibility standards, application usability, security legislation, web programming","analyse business requirements, perform online data analysis, manage localisation, create software design","Lisp, DevOps, ASP.NET, Python (computer programming), C#, SAP R3, OpenEdge Advanced Business Language, TypeScript, Prolog (computer programming), ABAP, C++, Synfig, quality standards, Ruby (computer programming), project management methodologies, computer programming, Visual Studio .NET, GIMP (graphics editor software), cognitive psychology, Haskell, SketchBook Pro, Rapid application development, CoffeeScript, PHP, Scratch (computer programming), Microsoft Visio, Perl, business process modelling, Agile project management, Groovy, MATLAB, Common Lisp, Iterative development, COBOL, natural language processing, Process-based management, Incremental development, Smalltalk (computer programming), Agile development, Adobe Illustrator, JavaScript, Prototyping development, VBScript, Swift (computer programming), Pascal (computer programming), Assembly (computer programming), SAS language, Objective-C, Java (computer programming), Scala, Erlang, software design methodologies, ML (computer programming), AJAX, R, APL, Adobe Photoshop, Waterfall development, Spiral development, Lean project management"
user interface developer,"User interface developers implement, code, document and maintain the interface of a software system by using front-end development technologies.","front end developer, UI programmer, user interface developers, UI developers, UI developer, user interface engineer","develop software prototype, use software libraries, interpret technical texts, design graphics, analyse software specifications, utilise methodologies for user centered design, design user interface, draw design sketches, use software design patterns","World Wide Web Consortium standards, web programming, computer programming, integrated development environment software, software UI design patterns, graphics editor software, style sheet languages","use markup languages, use concurrent programming, debug software, utilise computer-aided software engineering tools, use scripting programming, create flowchart diagram, use functional programming, use automatic programming, provide technical documentation, use logic programming, use object-oriented programming","Jenkins (tools for software configuration management), project management, Assembly (computer programming), Perl, R, CSS, Scratch (computer programming), OpenEdge Advanced Business Language, Apache Maven, Ansible, STAF, Sass, Java (computer programming), Groovy, SketchBook Pro, Lisp, Puppet (tools for software configuration management), Microsoft Visual C++, Objective-C, Python (computer programming), Salt (tools for software configuration management), ASP.NET, VBScript, Smalltalk (computer programming), Xcode, LESS, Haskell, SAP R3, APL, human-computer interaction, Microsoft Visio, PHP, C++, ABAP, JSSS, Scala, Eclipse (integrated development environment software), MATLAB, SAS language, JavaScript, C#, TypeScript, Swift (computer programming), Visual Studio .NET, CoffeeScript, AJAX, KDevelop, COBOL, Synfig, Adobe Illustrator, Pascal (computer programming), Erlang, software interaction design, debugging tools, Prolog (computer programming), Vagrant, tools for software configuration management, Adobe Photoshop, Ruby (computer programming), ML (computer programming), Common Lisp, GIMP (graphics editor software)"
